model,D_est,D_se,beta_est,beta_se,sigma_est,sigma_se,loglik,k,AIC,NE,SD,SM,SCALE,D_exp,D_obs,sigma_exp,sigma_obs
constant,198.07366022467664,54.08900535500809,NaN,NaN,0.3953704315980929,0.06394029677118931,-1332.8413972355365,2,2669.682794471073,5000,0.5043275288009783,0.01,1.0,1250.0,2954.7012373193706,0.5043770973255046,0.5429625646761366
power,582.6843045157991,388.8600147319851,0.6255130869045038,0.12560745945819407,0.5433939392518127,0.20057214843767404,-1319.8273624807869,3,2645.6547249615737,5000,0.5043275288009783,0.01,1.0,1250.0,2954.7012373193706,0.5043770973255046,0.5429625646761366
