D_est,D_exp,D_std_error,NE,SCALE,SD,SM,max_distance,mean_distance,min_distance,sample_size,seed,status,σ_est,σ_exp,σ_obs,σ_std_error,replicate
1351.8384534989916,250.0,74.83366665938898,1000,0.5,0.049999999999999996,0.01,0.8014187442411301,0.2912150196394072,0.014140796676954876,100,1011101,success,0.06249448806421643,0.05049752469181039,0.061425842672020774,0.002440887267162018,1
1475.580892815813,250.0,71.06246272073847,1000,1.0,0.049999999999999996,0.01,1.0105093924011879,0.30181373694550195,0.012539394850695466,100,2011101,success,0.05656517385569909,0.05049752469181039,0.06232570548264377,0.0019627556511665777,1
4606.378807507759,1250.0,318.5807556731783,5000,0.5,0.049999999999999996,0.01,1.155477211542155,0.45036004893491843,0.032798220540284605,100,1011201,success,0.05630909033734385,0.05049752469181039,0.06227279244141998,0.0031477017276635025,1
4030.4686541926126,1250.0,227.28647618458044,5000,1.0,0.049999999999999996,0.01,1.2150318965355518,0.44039421047622784,0.03337080103522157,100,2011201,success,0.04823055040505384,0.05049752469181039,0.06216061005205846,0.0020965409235465873,1
988.545135035149,250.0,81.86433112992997,1000,0.5,0.05897472295375227,0.01,0.8695253346780558,0.28379829987546423,0.013137310740317393,100,1011102,success,0.0821530658437937,0.05939712070018071,0.07212634077695644,0.004428171735067082,1
1383.863753828343,250.0,92.1288935795835,1000,1.0,0.05897472295375227,0.01,0.6507069318060227,0.25465729375939317,0.011463371167331664,100,2011102,success,0.06405906954575472,0.05939712070018071,0.07261193728644706,0.002891811579771453,1
3409.492031232132,1250.0,290.50985811727355,5000,0.5,0.05897472295375227,0.01,1.1378752238104899,0.39905392828873615,0.0327166175138625,100,1011202,success,0.0694967095670398,0.05939712070018071,0.07359388045449268,0.004527653866007552,1
3417.940490732472,1250.0,289.9549824727265,5000,1.0,0.05897472295375227,0.01,1.2393966574726771,0.4385112898515611,0.030466829899984463,100,2011202,success,0.0718283014538296,0.05939712070018071,0.07322019104306182,0.0046774662058915156,1
1028.4985799067042,250.0,87.01170020483539,1000,0.5,0.06956035894943671,0.01,0.7922376922763019,0.2856576397529396,0.012345626452668965,100,1011103,success,0.08264527419873291,0.06991883535339015,0.08441136155649587,0.004548489986924472,1
750.8616790598243,250.0,54.09398839811807,1000,1.0,0.06956035894943671,0.01,1.0261863450963902,0.3438772278251022,0.012215662349762823,100,2011103,success,0.09062898251479265,0.06991883535339015,0.08575778233436344,0.004333720551975724,1
2315.4321395032857,1250.0,226.25557830616515,5000,0.5,0.06956035894943671,0.01,1.2260352951375888,0.4708031824247052,0.03108505682754337,100,1011203,success,0.09068416205029257,0.06991883535339015,0.08583112062411774,0.006592897878899349,1
2244.294805570371,1250.0,187.99930282566623,5000,1.0,0.06956035894943671,0.01,1.5816043265356317,0.4992871197028264,0.03422183457806302,100,2011203,success,0.08495553459167005,0.06991883535339015,0.08590841029681766,0.005390960261658196,1
569.1843486778841,250.0,65.93200113110066,1000,0.5,0.08204605795213187,0.01,0.8822753062839067,0.31941161051264316,0.01179641149597848,100,1011104,success,0.11690778313074006,0.082350201125951,0.09900272190999419,0.008293629617341808,1
835.9237880610211,250.0,68.35508212246052,1000,1.0,0.08204605795213187,0.01,0.8299477474998843,0.3248026332177936,0.012819360693989514,100,2011104,success,0.09213748836295009,0.082350201125951,0.09906291851581403,0.004901390636113791,1
1582.9886333316383,1250.0,218.1902552511674,5000,0.5,0.08204605795213187,0.01,1.1146104336547649,0.45852975740704205,0.029691463586252825,100,1011204,success,0.1197897455111356,0.082350201125951,0.10073285014497968,0.011156203667887816,1
1916.255901590333,1250.0,192.1868161330562,5000,1.0,0.08204605795213187,0.01,1.3300419672609827,0.5190993168416944,0.030690143994661984,100,2011204,success,0.10146021242771412,0.082350201125951,0.10061640235412624,0.00736774199560611,1
588.2737477902751,250.0,53.175816152453145,1000,0.5,0.09677287074348961,0.01,1.043222806698636,0.35222275147206833,0.014075769397014916,100,1011105,success,0.10932626423928163,0.09703086370808077,0.11857411355610659,0.006280731151596047,1
449.29309206133945,250.0,48.063156956648726,1000,1.0,0.09677287074348961,0.01,0.9112659122277016,0.3463835805284245,0.013406272605140922,100,2011105,success,0.1251415757296364,0.09703086370808077,0.11738635489810834,0.00820452827622038,1
1756.786147805375,1250.0,194.25930886030338,5000,0.5,0.09677287074348961,0.01,1.162378680359212,0.48868982176598014,0.03610407755676982,100,1011205,success,0.10694729792886142,0.09703086370808077,0.118208926341204,0.008438863831261592,1
1433.7792843557822,1250.0,189.90170395869168,5000,1.0,0.09677287074348961,0.01,1.557963050567124,0.5233558574525023,0.031935061023617484,100,2011205,success,0.12805712415264647,0.09703086370808077,0.1183617608376184,0.011605705543032443,1
371.6258821995276,250.0,48.6171660558923,1000,0.5,0.1141430648307316,0.01,0.9179829500155117,0.3473474396453492,0.014977483501021504,100,1011106,success,0.14342075547889374,0.11436187847771911,0.13608020331097262,0.011157518113214115,1
358.8531262511009,250.0,49.01711569861844,1000,1.0,0.1141430648307316,0.01,0.9259295599588689,0.3406964711428276,0.013609014944040017,100,2011106,success,0.14671076048786746,0.11436187847771911,0.13623895187243143,0.011795019306250794,1
1662.8840685682344,1250.0,195.0019473733772,5000,0.5,0.1141430648307316,0.01,1.1690741020039914,0.4638193630102787,0.03032819648381255,100,1011206,success,0.10917244995373483,0.11436187847771911,0.13905895448075456,0.0089543147998529,1
