DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
1715.998985,0.025,0.05,0.037500000000000006,1,2,37,3

1715.98961,0.004,0.01,0.007,1,30,38,1

1715.98961,0.01,0.025,0.0175,1,10,38,2

1715.98961,0.025,0.05,0.037500000000000006,1,1,38,3

1715.98637,0.004,0.01,0.007,1,12,39,1

1715.98637,0.01,0.025,0.0175,1,15,39,2

1715.98637,0.025,0.05,0.037500000000000006,1,1,39,3

1899.879529,0.004,0.01,0.007,1,19,40,1

1899.879529,0.01,0.025,0.0175,1,4,40,2

1899.879529,0.025,0.05,0.037500000000000006,1,0,40,3

1899.903823,0.004,0.01,0.007,1,20,41,1

1899.903823,0.01,0.025,0.0175,1,5,41,2

1899.903823,0.025,0.05,0.037500000000000006,1,3,41,3

1899.831605,0.004,0.01,0.007,1,17,42,1

1899.831605,0.01,0.025,0.0175,1,5,42,2

1899.831605,0.025,0.05,0.037500000000000006,1,1,42,3

1899.929805,0.004,0.01,0.007,1,16,43,1

1899.929805,0.01,0.025,0.0175,1,9,43,2

1899.929805,0.025,0.05,0.037500000000000006,1,0,43,3

1899.917426,0.004,0.01,0.007,1,17,44,1

1899.917426,0.01,0.025,0.0175,1,7,44,2

1899.917426,0.025,0.05,0.037500000000000006,1,2,44,3

1899.966042,0.004,0.01,0.007,1,14,45,1

1899.966042,0.01,0.025,0.0175,1,8,45,2

1899.966042,0.025,0.05,0.037500000000000006,1,1,45,3

1899.949459,0.004,0.01,0.007,1,22,46,1

1899.949459,0.01,0.025,0.0175,1,8,46,2

1899.949459,0.025,0.05,0.037500000000000006,1,1,46,3

1899.905274,0.004,0.01,0.007,1,20,47,1

1899.905274,0.01,0.025,0.0175,1,5,47,2

1899.905274,0.025,0.05,0.037500000000000006,1,2,47,3

1899.945695,0.004,0.01,0.007,1,23,48,1

1899.945695,0.01,0.025,0.0175,1,8,48,2

1899.945695,0.025,0.05,0.037500000000000006,1,0,48,3

0.071434,0.004,0.01,0.007,1,42,49,1

0.071434,0.01,0.025,0.0175,1,19,49,2

0.071434,0.025,0.05,0.037500000000000006,1,1,49,3

0.013754,0.004,0.01,0.007,1,35,50,1

0.013754,0.01,0.025,0.0175,1,17,50,2

0.013754,0.025,0.05,0.037500000000000006,1,2,50,3

0.059732,0.004,0.01,0.007,1,34,51,1

0.059732,0.01,0.025,0.0175,1,20,51,2

0.059732,0.025,0.05,0.037500000000000006,1,4,51,3

0.056345,0.004,0.01,0.007,1,38,52,1

0.056345,0.01,0.025,0.0175,1,12,52,2

0.056345,0.025,0.05,0.037500000000000006,1,0,52,3

0.05116,0.004,0.01,0.007,1,36,53,1

0.05116,0.01,0.025,0.0175,1,19,53,2

0.05116,0.025,0.05,0.037500000000000006,1,1,53,3

0.095979,0.004,0.01,0.007,1,44,54,1

0.095979,0.01,0.025,0.0175,1,18,54,2

0.095979,0.025,0.05,0.037500000000000006,1,7,54,3

0.035619,0.004,0.01,0.007,1,34,55,1

0.035619,0.01,0.025,0.0175,1,20,55,2

0.035619,0.025,0.05,0.037500000000000006,1,3,55,3

0.026685,0.004,0.01,0.007,1,41,56,1

0.026685,0.01,0.025,0.0175,1,19,56,2

0.026685,0.025,0.05,0.037500000000000006,1,2,56,3

388.43067,0.004,0.01,0.007,1,22,57,1

388.43067,0.01,0.025,0.0175,1,16,57,2

388.43067,0.025,0.05,0.037500000000000006,1,1,57,3

388.460356,0.004,0.01,0.007,1,29,58,1

388.460356,0.01,0.025,0.0175,1,10,58,2

388.460356,0.025,0.05,0.037500000000000006,1,4,58,3

388.486008,0.004,0.01,0.007,1,36,59,1

388.486008,0.01,0.025,0.0175,1,12,59,2

388.486008,0.025,0.05,0.037500000000000006,1,2,59,3

