distance_bin,BIN_INDEX,IBD_LEFT,IBD_RIGHT,IBD_MID,mean,std,n,lower,upper
0.0,1,0.004,0.01,0.007,30.2896174863388,0.6598925911080071,183,29.0,31.6448087431694
0.0,2,0.01,0.025,0.0175,10.912568306010929,0.33490934907605824,183,10.305874316939892,11.590573770491803
0.0,3,0.025,0.05,0.037500000000000006,2.07103825136612,0.10463284750508037,183,1.8741803278688527,2.267896174863388
300.0,1,0.004,0.01,0.007,31.8,0.9848334451532756,30,29.999166666666667,33.93333333333333
300.0,2,0.01,0.025,0.0175,11.2,0.4710203500594959,30,10.332500000000001,12.133333333333333
300.0,3,0.025,0.05,0.037500000000000006,2.033333333333333,0.2670607281942719,30,1.5333333333333334,2.566666666666667
2500.0,1,0.004,0.01,0.007,17.805555555555557,0.4103398910222196,72,17.041319444444447,18.62534722222222
2500.0,2,0.01,0.025,0.0175,5.694444444444445,0.26174066591412287,72,5.152777777777778,6.180902777777778
2500.0,3,0.025,0.05,0.037500000000000006,0.8055555555555556,0.09203071825307164,72,0.625,0.9861111111111112
700.0,1,0.004,0.01,0.007,24.24,0.4636903694910633,100,23.29,25.19
700.0,2,0.01,0.025,0.0175,7.31,0.2747086324321329,100,6.76,7.830749999999999
700.0,3,0.025,0.05,0.037500000000000006,1.31,0.10977558507737083,100,1.1,1.52
1000.0,1,0.004,0.01,0.007,24.82857142857143,0.39671381528627664,140,24.078392857142855,25.63589285714286
1000.0,2,0.01,0.025,0.0175,7.985714285714286,0.22987864035471448,140,7.564107142857143,8.414285714285715
1000.0,3,0.025,0.05,0.037500000000000006,1.3857142857142857,0.09567766400188836,140,1.1928571428571428,1.5787499999999999
1700.0,1,0.004,0.01,0.007,21.33076923076923,0.4639002572275169,130,20.446153846153845,22.27730769230769
1700.0,2,0.01,0.025,0.0175,6.776923076923077,0.25999831316887684,130,6.269038461538461,7.292307692307692
1700.0,3,0.025,0.05,0.037500000000000006,1.176923076923077,0.0873803533670866,130,1.0153846153846153,1.353846153846154
1800.0,1,0.004,0.01,0.007,20.51948051948052,0.3968421089120172,77,19.726948051948053,21.25974025974026
1800.0,2,0.01,0.025,0.0175,6.6103896103896105,0.21308639867883913,77,6.181818181818182,7.0262987012987015
1800.0,3,0.025,0.05,0.037500000000000006,1.077922077922078,0.10136703165449772,77,0.8831168831168831,1.2857142857142858
1900.0,1,0.004,0.01,0.007,18.923076923076923,1.0729492264444458,13,16.921153846153846,21.078846153846154
1900.0,2,0.01,0.025,0.0175,6.461538461538462,0.6154402021171732,13,5.3076923076923075,7.6923076923076925
1900.0,3,0.025,0.05,0.037500000000000006,0.9230769230769231,0.38189349491451946,13,0.3076923076923077,1.7692307692307692
2100.0,1,0.004,0.01,0.007,20.333333333333332,1.7203525322030015,9,16.88888888888889,23.555555555555557
2100.0,2,0.01,0.025,0.0175,6.666666666666667,0.7530820765996074,9,5.333333333333333,8.333333333333334
2100.0,3,0.025,0.05,0.037500000000000006,1.0,0.26817020889717097,9,0.5555555555555556,1.5555555555555556
800.0,1,0.004,0.01,0.007,26.466666666666665,1.103189481220665,30,24.266666666666666,28.566666666666666
800.0,2,0.01,0.025,0.0175,8.333333333333334,0.5112001826465332,30,7.333333333333333,9.366666666666667
800.0,3,0.025,0.05,0.037500000000000006,1.6,0.19374224989074032,30,1.2333333333333334,2.0
1300.0,1,0.004,0.01,0.007,25.566666666666666,0.6704093930650624,30,24.166666666666668,26.933333333333334
1300.0,2,0.01,0.025,0.0175,10.366666666666667,0.5513025586534535,30,9.299166666666666,11.466666666666667
1300.0,3,0.025,0.05,0.037500000000000006,1.3333333333333333,0.20399414820379108,30,0.9666666666666667,1.7333333333333334
1600.0,1,0.004,0.01,0.007,22.1875,0.8067558625063438,48,20.6875,23.750520833333333
1600.0,2,0.01,0.025,0.0175,8.0,0.5615127982312055,48,7.0203125,9.208333333333334
1600.0,3,0.025,0.05,0.037500000000000006,0.8958333333333334,0.12297777368701815,48,0.6666666666666666,1.1666666666666667
1500.0,1,0.004,0.01,0.007,22.444444444444443,0.6775629580117364,27,21.14814814814815,23.74074074074074
1500.0,2,0.01,0.025,0.0175,7.2592592592592595,0.4803982679003955,27,6.333333333333333,8.185185185185185
1500.0,3,0.025,0.05,0.037500000000000006,1.2222222222222223,0.25133172928560027,27,0.7407407407407407,1.7037037037037037
3000.0,1,0.004,0.01,0.007,17.866666666666667,0.5901090500179907,30,16.8,19.1
3000.0,2,0.01,0.025,0.0175,5.666666666666667,0.3532609642522365,30,4.966666666666667,6.4
3000.0,3,0.025,0.05,0.037500000000000006,0.7666666666666667,0.1399111528300793,30,0.5,1.0333333333333334
900.0,1,0.004,0.01,0.007,25.074074074074073,1.3213559069137621,27,22.29537037037037,27.37037037037037
900.0,2,0.01,0.025,0.0175,7.962962962962963,0.64090637524705,27,6.628703703703704,9.148148148148149
900.0,3,0.025,0.05,0.037500000000000006,1.1851851851851851,0.22051226090010476,27,0.7777777777777778,1.6296296296296295
500.0,1,0.004,0.01,0.007,24.12,0.46333771802103585,100,23.229000000000003,25.010749999999998
500.0,2,0.01,0.025,0.0175,8.09,0.28673410687961076,100,7.53975,8.610249999999999
500.0,3,0.025,0.05,0.037500000000000006,1.39,0.1238685586410846,100,1.15,1.6402499999999998
1100.0,1,0.004,0.01,0.007,25.25,0.8979071428812876,40,23.424374999999998,26.925625
1100.0,2,0.01,0.025,0.0175,8.925,0.4149248246491285,40,8.124375,9.725
1100.0,3,0.025,0.05,0.037500000000000006,1.6,0.203816303225381,40,1.2,1.975
